regiao,valor
Distrito Federal,100
Santa Catarina,83
São Paulo,75
Ceará,70
Pernambuco,69
Rio Grande do Norte,65
Rio de Janeiro,64
Rio Grande do Sul,62
Alagoas,62
Paraná,61
Minas Gerais,56
Paraíba,56
Amazonas,52
Piauí,51
Espírito Santo,48
Mato Grosso do Sul,44
Bahia,43
Goiás,42
Sergipe,38
Tocantins,38
Maranhão,38
Mato Grosso,32
Pará,30
Rondônia,25
Roraima,0
